jira_worklog_id,jira_user_id
1027496,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027497,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027498,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027499,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027500,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027501,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027502,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1012169,712020:060778c7-d62a-41b9-898e-582c7d007011
1012172,712020:060778c7-d62a-41b9-898e-582c7d007011
1012175,712020:060778c7-d62a-41b9-898e-582c7d007011
1012179,712020:060778c7-d62a-41b9-898e-582c7d007011
1012183,712020:060778c7-d62a-41b9-898e-582c7d007011
1012187,712020:060778c7-d62a-41b9-898e-582c7d007011
1018510,712020:223cfd68-5308-4515-a26c-b450422eb77f
1018428,635fbf48c97f5473af715196
1018432,635fbf48c97f5473af715196
1018436,712020:060778c7-d62a-41b9-898e-582c7d007011
1018440,712020:060778c7-d62a-41b9-898e-582c7d007011
1018444,712020:060778c7-d62a-41b9-898e-582c7d007011
1018446,635fbf48c97f5473af715196
1018450,635fbf48c97f5473af715196
1018454,635fbf48c97f5473af715196
1018459,635fbf48c97f5473af715196
1018464,635fbf48c97f5473af715196
1018469,635fbf48c97f5473af715196
1018474,635fbf48c97f5473af715196
1018477,635fbf48c97f5473af715196
1018482,635fbf48c97f5473af715196
1018486,635fbf48c97f5473af715196
1018491,635fbf48c97f5473af715196
1018496,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1018501,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1018506,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022471,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022476,712020:060778c7-d62a-41b9-898e-582c7d007011
1022481,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022486,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022491,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022496,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022501,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022506,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022511,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022516,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022521,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022527,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022533,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022537,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022543,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022547,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022553,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022558,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022563,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022568,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022573,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022577,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022581,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022586,712020:27aba0ba-1c77-4efd-b6ae-673c5d945737
1022591,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022596,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1022602,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022607,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022613,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022618,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022621,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022626,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022630,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022635,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022639,712020:17c89c8a-5040-470a-9db9-26804fa33df8
1022643,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022647,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022651,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022655,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022659,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1022052,5f99d71c8405b1007751659d
1022054,5f99d71c8405b1007751659d
1022057,5f99d71c8405b1007751659d
1022059,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022061,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022063,5f99d71c8405b1007751659d
1022065,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022068,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022070,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022072,5f732988a290960075eb5589
